OBJECTID,ID_4Digit,Name,Latitude,Longitude,Address,Advertised Hours,Confirmed Hours:,Confirmed Hours Other:,Showers,Menstrual Products,ADA Accessible,Baby Changing,Gender Neutral,Restroom Open Status,Restroom Assessed,Category,Public Buildings,Outdoor Facilities,Government Facilities,Other,Commercial,Transportation (MTS),PSJ Team Internal Notes,Public Restrooms in San Diego,Operated By,GlobalID,CreationDate,Creator,EditDate,Editor,Restroom assessment date:
1,1321,Pacific Beach Law Street,32.802045,-117.259276,"4861 Ocean Blvd, San Diego, CA 92109",24/7,1,,0,0,1,0,1,1,1,2,,2,,,,,,0,City of San Diego,e729c27f-94bf-4631-9780-3c5003866d8f,42:35.3,arios8883_SDSUGeo,15:30.9,arios8883_SDSUGeo,6/22/22 17:12
2,1400,National City Public Library,32.6704966,-117.1045358,"1401 National City Blvd, National City, CA 91950","Sun Closed, Mon - Thurs 10:00am - 8:00pm, Fri 10:00am - 6:00pm, Sat 10:00am - 5:00pm",0,,1,0,1,0,0,1,1,1,1,,,,,,"2 restrooms, one on the first floor and another on the second. ",0,City of National City,ec72bb33-4f3b-4ba4-a21a-4f3406709a4e,42:35.3,arios8883_SDSUGeo,28:59.7,,7/23/22 18:28
3,1134,Coronado Ferry Landing near Cold Stone,32.69811232,-117.1695199,"1201 1st St # 101, Coronado, CA 92118","10:00am - 9:00pm, daily",0,,1,1,1,1,0,1,1,,,,,,,,25¢ for menstrual products; hours listed are from Apple/Google maps; bike rack and water fountain available,0,City of Coronado,554ec5e9-e167-43ec-88dd-18411a3d173c,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
4,1136,Coronado Municipal Golf Course,32.68471106,-117.166032,"2000 Visalia Row, Coronado, CA 92118","5:30am - 5:00pm, daily",0,,1,1,1,1,0,1,1,,,,,,,,,0,City of Coronado,6589f4aa-f543-4370-81e9-771c4204f61b,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
5,1138,Coronado Tidelands Park,32.69148767,-117.1650511,"2000 Mullinex Dr, Coronado, CA 92118","6:00am - 10:30pm, daily",0,,1,0,1,0,0,1,1,,,,,,,,,0,City of Coronado,c1020ca4-64e8-4cd2-a921-91b2cbaacea1,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
6,1627,Torrey Pines State Reserve,32.92700153,-117.2592838,"12600 N Torrey Pines Rd, La Jolla, CA 92037","7:15am to Sunset, daily ",1,,1,0,1,0,1,1,3,2,,2,,,,,Foot rinse station. No showers. ,0,City of San Diego & CA State,59f84f11-c11d-4b19-ab01-88814f373ce8,42:35.3,arios8883_SDSUGeo,50:55.4,,50:21.9
7,1530,San Elijo Lagoon Nature Center,33.01335689,-117.2742534,"2710 Manchester Ave, Cardiff, CA 92007","9:00am - 5:00pm, daily",0,,1,0,1,1,1,1,1,,,,,,,,,0,San Diego County,6e1f6ce1-148e-41f6-bbbb-e68e264b85ce,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
8,1360,Mast Park Dog Park,32.8458428,-116.9925787,"9125 Carlton Hills Blvd, Santee, CA 92071","Dawn to 10:00pm, daily ",0,,1,0,1,1,1,1,1,2,,1,,,,,,0,City of Santee,365e9ae9-702b-43be-8d34-273439eb9172,42:35.3,arios8883_SDSUGeo,44:25.8,,10/23/22 15:44
9,1305,La Mesa Branch Library,32.76620773,-117.0233086,"8074 Allison Ave, La Mesa, CA 91942","Mon & Thurs 10:00am - 6:00pm, Tues - Wed 12:00pm - 7:00pm, Fri - Sun 10:00am - 5:00pm",0,,1,0,1,1,0,1,1,1,1,,,,,,,0,San Diego County,1772f79d-30e1-442c-9574-754f6a0dee04,42:35.3,arios8883_SDSUGeo,45:07.6,,6/22/22 16:44
10,1550,Santee Public Library,32.84458665,-116.9968569,"9225 Carlton Hills Blvd, Unit 17, Santee, CA 92071","Mon, Wed, Thurs 10:00am - 6:00pm, Tues 12:00pm - 7:00pm, Fri - Sat 10:00am - 5:00pm, Sun closed",0,,1,2,1,1,1,1,1,1,1,,,,,,,0,San Diego County,a84fb165-8727-41c4-85ba-e145ec2dbd1f,42:35.3,arios8883_SDSUGeo,31:16.1,,6/26/24 21:53
